Date,Open,High,Low,Close,Adj Close,Volume
2018-10-24,0.499800,0.506300,0.495800,0.497000,0.497000,1112501
2018-10-25,0.497000,0.504800,0.492200,0.499000,0.499000,1755042
2018-10-26,0.499000,0.503300,0.492700,0.495200,0.495200,1611161
2018-10-27,0.495200,0.496600,0.475500,0.480700,0.480700,1598540
2018-10-28,0.480700,0.483100,0.475100,0.482000,0.482000,1180700
2018-10-29,0.482000,0.483100,0.445000,0.449600,0.449600,3246964
2018-10-30,0.449600,0.462500,0.449200,0.452500,0.452500,1345293
2018-10-31,0.452500,0.473800,0.438100,0.468500,0.468500,2659692
2018-11-01,0.468500,0.481500,0.462500,0.476300,0.476300,1892416
2018-11-02,0.476300,0.493400,0.471500,0.487100,0.487100,3241037
2018-11-03,0.487100,0.487700,0.473400,0.480700,0.480700,1143239
2018-11-04,0.480700,0.515800,0.470000,0.502200,0.502200,4624525
2018-11-05,0.502200,0.510700,0.493900,0.507500,0.507500,1572284
2018-11-06,0.507500,0.522300,0.499100,0.518700,0.518700,3286336
2018-11-07,0.518700,0.525800,0.495400,0.506500,0.506500,3875822
2018-11-08,0.506500,0.511200,0.477000,0.485200,0.485200,4690702
2018-11-09,0.485200,0.504000,0.472500,0.479000,0.479000,3174167
2018-11-10,0.479000,0.500000,0.474500,0.485200,0.485200,2045994
2018-11-11,0.485200,0.488300,0.478100,0.485800,0.485800,900918
2018-11-12,0.485800,0.508700,0.484700,0.499400,0.499400,2758279
2018-11-13,0.499400,0.510000,0.493700,0.500000,0.500000,2937192
2018-11-14,0.500000,0.509500,0.350200,0.440400,0.440400,15027525
2018-11-15,0.440400,0.446000,0.389900,0.427400,0.427400,8229138
2018-11-16,0.427400,0.429900,0.407200,0.415000,0.415000,2061512
2018-11-17,0.415000,0.425000,0.400000,0.412000,0.412000,1616174
2018-11-18,0.412000,0.423200,0.410000,0.412100,0.412100,1471949
2018-11-19,0.412100,0.412100,0.342000,0.355200,0.355200,7547807
2018-11-20,0.355200,0.368200,0.280000,0.304600,0.304600,12276243
2018-11-21,0.304600,0.337400,0.297000,0.332300,0.332300,4629332
2018-11-22,0.332300,0.340000,0.301400,0.304000,0.304000,3169417
2018-11-23,0.304000,0.324900,0.290100,0.320700,0.320700,4218892
2018-11-24,0.320700,0.332600,0.262000,0.282000,0.282000,5008564
2018-11-25,0.282000,0.297600,0.251100,0.290100,0.290100,7354417
2018-11-26,0.290100,0.300500,0.257000,0.275600,0.275600,5690072
